Street;Zip Code;City;Country
Langschlägerwald 49;3921;Langschlag;Austria
Riedgasse 12;6020;Innsbruck;Austria
Steinbergstraße 10;6393;Sankt Ulrich Am Pillersee;Austria
Diefenbachgasse 5;1150;Vienna;Austria
Office-Park 1;1300;Schwechat;Austria
Hasenauerstraße 33;1190;Vienna;Austria
Herrengasse 1-3;1010;Vienna;Austria
Landstraße 40;4020;Linz;Austria
Kolpingstraße 7;2170;Poysdorf;Austria
Sankt-Oswald-Weg;5081;Anif;Austria
Riedgasse 10;6020;Innsbruck;Austria
Kirchschlag 60;3631;Kirchschlag;Austria
Markt;5431;Kuchl;Austria
Edisonstraße 23;4020;Linz;Austria
Hauptstraße 143;8301;Lassnitzhöhe;Austria
Franz-Baumann-Weg 19;6020;Innsbruck;Austria
